Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
10092,,,None,10.204.224.1,tcp,21,FTP Server Detection,An FTP server is listening on a remote port.,"It is possible to obtain the banner of the remote FTP server by
connecting to a remote port.",n/a,,"
The remote FTP banner is :

220 IIHGR-ROUTER FTP server (MikroTik 6.46.5) ready
",,,,,None,,,,10/12/1999,11/22/2019,,,
10114,CVE-1999-0524,0,None,10.204.224.1,icmp,0,ICMP Timestamp Request Remote Date Disclosure,It is possible to determine the exact time set on the remote host.,"The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).",,"The difference between the local and remote clocks is 4 seconds.
",,0,,,None,,CWE:200,,8/1/1999,10/4/2019,,,
10267,,,None,10.204.224.1,tcp,22,SSH Server Type and Version Information,An SSH server is listening on this port.,"It is possible to obtain information about the remote SSH server by
sending an empty authentication request.",n/a,,"
SSH version : SSH-2.0-ROSSSH
SSH supported authentication : publickey,password
",,,,,None,,IAVT:0001-T-0933,,10/12/1999,9/22/2020,,,
10287,,,None,10.204.224.1,udp,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,n/a,,"For your information, here is the traceroute from 10.204.224.210 to 10.204.224.1 : 
10.204.224.210
10.204.224.1

Hop Count: 1
",,,,,None,,,,11/27/1999,8/20/2020,,,
10622,,,None,10.204.224.1,tcp,1723,PPTP Detection,A VPN server is listening on the remote port.,"The remote host is running a PPTP (Point-to-Point Tunneling Protocol)
server.  It allows users to set up a tunnel between their host and the
network the remote host is attached to.","Make sure use of this software is in agreement with your
organization's security policy.",,"
It was possible to extract the following information from the remote PPTP server :

Firmware Version : 1
Vendor Name : MikroTik
Host name : IIHGR-ROUTER
",,,,,None,,IAVT:0001-T-0900,,2/28/2001,9/22/2020,,,
10663,,3.3,Low,10.204.224.1,udp,67,DHCP Server Detection,"The remote DHCP server may expose information about the associated
network.","This script contacts the remote DHCP server (if any) and attempts to
retrieve information about the network layout. 

Some DHCP servers provide sensitive information such as the NIS domain
name, or network layout information such as the list of the network
web servers, and so on. 

It does not demonstrate any vulnerability, but a local attacker may
use DHCP to become intimately familiar with the associated network.","Apply filtering to keep this information off the network and remove
any options that are not in use.",,"
Nessus gathered the following information from the remote DHCP server :

  Master DHCP server of this network : 10.204.224.1
  IP address the DHCP server would attribute us : 10.204.224.210
  DHCP server(s) identifier : 10.204.224.1
  Netmask : 255.255.255.0
  Router : 10.204.224.1
  Domain name server(s) : 10.204.224.18

",,,,,Low,,,,5/5/2001,3/6/2019,,,
10881,,,None,10.204.224.1,tcp,22,SSH Protocol Versions Supported,A SSH server is running on the remote host.,"This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.",n/a,,"The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
",,,,,None,,,,3/6/2002,1/19/2021,,,
11154,,,None,10.204.224.1,tcp,2000,Unknown Service Detection: Banner Retrieval,There is an unknown service running on the remote host.,"Nessus was unable to identify a service on the remote host even though
it returned a banner of some type.",n/a,,"
If you know what this service is and think the banner could be used to
identify it, please send a description of the service along with the
following output to svc-signatures@nessus.org :

  Port   : 2000
  Type   : spontaneous
  Banner : 
0x00:  01 00 00 00                                        ....            
           
",,,,,None,,,,11/18/2002,7/24/2018,,,
11219,,,None,10.204.224.1,tcp,21,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 21/tcp was found to be open,,,,,None,,,,2/4/2009,7/12/2021,,,
11219,,,None,10.204.224.1,tcp,22,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 22/tcp was found to be open,,,,,None,,,,2/4/2009,7/12/2021,,,
